,age,workclass,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,ypred
10048,31,1,11,5,6,4,4,0,0,0,40,39,0
10074,35,4,2,5,7,4,4,0,0,0,40,39,0
20997,36,2,11,4,8,4,2,0,0,0,70,39,0
1428,19,4,11,4,7,1,4,1,0,0,40,39,0
10693,36,4,9,4,10,1,4,0,0,0,45,39,0
20793,51,4,15,2,4,0,4,1,0,0,45,39,1
23412,41,4,11,0,3,4,4,0,0,0,60,39,0
8891,20,4,15,4,12,3,4,0,0,0,20,39,0
11441,29,4,12,4,10,1,4,0,0,0,50,39,0
20355,37,1,11,2,1,0,4,1,0,0,40,9,0
19583,27,2,8,4,11,1,4,1,0,0,56,39,0
29708,30,4,9,2,12,0,4,1,0,0,40,26,0
27341,21,4,11,3,4,2,4,0,0,0,60,39,0
22096,36,4,1,2,3,0,4,1,0,0,60,39,0
9633,62,4,9,4,5,1,4,1,0,0,30,39,0
32340,75,6,12,6,12,1,4,1,0,0,45,39,0
2892,56,4,14,2,4,0,4,1,0,0,16,39,0
15342,31,4,4,4,7,1,4,1,0,0,45,26,0
30545,47,4,9,2,10,0,4,1,0,0,50,39,1
15685,21,0,15,4,0,3,4,0,0,0,6,39,0
13700,31,4,9,4,4,4,4,0,0,0,50,39,0
21396,35,6,11,0,3,3,0,1,0,0,15,39,0
11031,38,4,9,2,8,0,4,1,0,0,35,26,0
27005,35,4,11,2,3,0,4,1,0,0,42,39,0
11014,32,2,9,0,10,1,4,1,0,0,40,39,0
29511,29,4,15,4,3,3,4,1,0,0,45,39,0
13898,42,1,11,0,1,1,4,0,0,0,40,39,0
24408,39,4,9,4,4,3,1,0,0,0,35,39,0
29933,49,4,9,2,4,0,4,1,0,0,40,39,1
7832,43,4,15,2,12,0,4,1,0,0,43,39,1
30358,61,4,11,2,14,0,4,1,0,0,40,39,0
22290,33,2,11,0,13,1,4,0,0,0,55,39,0
9579,43,4,12,0,8,4,4,0,0,0,40,39,0
19113,25,4,2,2,7,0,4,1,0,0,40,8,0
12910,57,4,11,0,8,1,4,1,0,0,38,39,0
28281,35,4,1,5,8,4,2,0,0,0,40,39,0
25440,46,4,11,2,3,0,2,1,0,0,40,39,0
18393,54,4,1,0,1,1,4,1,0,0,40,39,0
10739,33,4,11,4,8,3,4,1,0,0,48,39,0
14136,26,4,11,2,7,0,4,1,0,0,40,39,0
25188,58,7,5,2,14,0,4,1,0,0,40,39,0
20466,25,4,15,4,3,3,4,1,0,0,55,39,0
1780,38,4,9,2,12,0,4,1,7298,0,40,39,1
4369,22,0,15,4,0,3,4,0,0,0,40,20,0
9560,42,2,15,0,3,1,4,1,0,0,40,39,0
2515,27,4,1,4,6,2,2,1,0,0,40,39,0
28746,38,4,9,2,4,0,4,1,15024,0,50,39,1
2699,40,7,12,0,10,1,4,0,0,0,45,39,0
14216,34,7,9,4,10,1,4,1,0,0,48,39,0
23266,66,6,10,2,12,0,4,1,0,2377,25,39,1
19115,45,4,15,2,8,0,4,1,0,0,40,39,0
6701,56,4,5,2,14,0,4,1,0,0,36,39,0
860,18,4,1,4,1,3,4,0,0,0,20,39,0
9696,45,4,11,5,7,4,2,0,0,0,40,39,0
23715,25,4,7,4,10,1,4,1,0,0,50,39,0
20117,62,6,11,4,8,4,4,0,0,0,6,39,0
3066,20,4,15,4,14,3,4,1,0,0,30,39,0
15836,51,4,9,0,10,4,4,0,0,0,55,9,0
27911,21,4,6,4,8,3,0,1,0,0,40,39,0
15045,32,4,15,4,4,4,2,0,0,0,35,39,0
2312,26,4,9,2,12,5,4,0,0,0,40,39,0
27877,39,4,11,2,3,0,4,1,0,0,40,39,0
76,40,4,7,2,1,0,4,1,0,0,40,39,0
14867,29,4,11,2,12,0,4,1,0,0,60,39,0
12909,56,6,11,6,1,4,4,0,99999,0,40,39,1
22062,62,2,15,2,7,0,4,1,0,0,40,39,0
7173,64,0,13,2,0,0,4,1,0,0,40,39,0
22145,36,4,6,2,12,3,4,1,0,0,50,39,0
1794,31,4,15,2,7,0,2,1,0,0,40,38,0
2016,34,4,12,4,10,1,4,1,4865,0,60,39,0
9067,48,4,6,2,7,2,1,0,0,0,45,3,0
11172,57,4,15,4,3,1,2,0,0,0,40,39,0
14152,37,4,15,2,12,0,4,1,0,0,50,11,1
57,35,4,8,2,8,0,4,1,0,0,40,33,0
13835,24,4,8,2,3,0,4,1,0,0,45,39,0
3153,56,1,9,2,10,0,4,1,0,0,40,39,1
22908,30,4,15,3,4,4,4,0,0,0,45,39,0
15191,38,4,12,0,4,1,4,1,0,0,45,39,0
20470,19,4,1,0,12,4,4,0,0,0,20,39,0
6031,61,5,9,5,12,1,4,0,0,0,30,39,0
10337,54,4,11,2,8,0,4,1,0,0,50,39,0
13148,49,5,11,2,4,0,4,1,0,0,50,39,1
18309,27,4,1,2,3,0,4,1,0,1902,40,39,0
12979,45,4,8,2,4,0,4,1,0,1977,50,39,1
24946,67,4,11,4,1,1,4,0,0,0,38,39,0
821,31,4,12,4,10,1,4,0,0,0,46,39,0
26152,27,4,15,2,12,0,1,1,0,0,55,35,0
3607,41,6,15,5,3,1,4,1,0,0,40,39,0
31153,53,6,8,5,3,1,4,1,0,0,40,31,0
925,32,4,11,2,7,0,4,1,0,0,40,39,0
29879,49,2,12,0,4,1,4,0,0,0,40,39,0
12336,29,4,12,4,10,1,4,0,0,0,80,39,0
3579,21,0,9,4,0,1,1,1,0,0,25,0,0
7310,49,4,11,2,8,5,1,0,0,0,8,30,0
2428,41,4,11,4,12,3,4,0,0,0,40,39,0
12154,37,4,11,4,8,4,4,0,0,0,35,39,0
2072,63,0,11,2,0,0,4,1,0,0,40,39,0
781,28,4,8,4,7,1,4,0,0,1669,42,39,0
21966,35,4,8,2,1,0,2,1,0,0,40,39,0
26555,22,4,11,4,8,3,4,0,0,0,36,39,0
15043,28,4,11,2,7,0,1,1,0,0,40,30,0
1225,29,4,11,4,1,1,4,0,0,0,40,39,0
17409,36,4,9,2,10,5,4,0,0,0,4,39,1
25211,42,6,14,0,10,4,4,1,0,0,60,39,0
20379,61,4,1,2,8,0,4,1,0,0,40,39,0
23774,59,4,1,2,7,0,4,1,0,0,40,39,0
32373,22,4,9,4,4,1,4,0,0,0,40,39,0
22117,39,4,8,0,4,4,2,0,0,0,40,39,0
21823,33,4,15,2,14,0,4,1,0,0,60,29,0
21776,55,4,4,2,7,0,4,1,0,0,40,26,0
15083,65,4,9,6,8,1,4,0,0,0,40,39,0
11686,22,5,9,4,1,3,4,1,0,0,40,35,0
31023,23,4,11,4,6,1,2,1,0,0,40,39,0
19755,31,4,15,2,3,0,1,1,0,0,40,39,0
15167,45,4,11,0,8,2,2,0,0,0,35,39,0
21865,63,4,1,2,12,0,4,1,0,0,22,39,0
7742,56,4,6,2,8,0,4,1,0,0,40,39,0
9971,17,4,5,4,3,1,4,1,0,0,45,39,0
26700,26,6,11,4,3,3,4,1,0,0,50,39,0
28218,33,4,3,4,12,3,4,0,0,0,24,39,0
32446,53,4,11,6,7,4,2,0,0,0,38,39,0
27955,34,4,11,2,3,0,4,1,0,0,40,11,0
875,41,4,9,2,4,0,4,1,0,0,60,39,1
11050,68,4,11,2,3,0,4,1,0,0,8,39,0
30302,28,4,9,2,1,0,4,1,0,0,40,0,0
18924,19,0,15,4,0,3,4,0,0,0,20,39,0
28790,46,5,9,2,4,0,4,1,3103,0,37,39,1
2331,32,4,8,0,10,1,4,1,0,0,40,39,0
19239,20,4,15,4,12,1,4,1,0,0,30,39,0
15080,52,4,11,2,1,5,4,0,0,0,38,39,0
13237,23,4,0,4,8,4,4,1,0,0,60,26,0
24888,54,4,7,0,4,4,4,0,0,0,55,39,0
3225,42,6,9,2,5,0,4,1,0,1902,80,39,1
25714,34,4,0,5,8,1,4,0,0,0,35,39,0
23610,43,7,8,2,11,0,4,1,0,0,40,39,1
3279,45,4,9,0,4,4,4,0,0,0,40,39,0
10422,59,1,7,2,5,0,2,1,0,0,40,39,0
124,19,4,15,4,8,3,2,1,0,0,35,39,0
31167,51,6,11,2,3,0,4,1,0,0,70,39,0
22877,26,5,9,4,4,1,4,1,0,0,50,39,0
10242,41,4,15,2,3,0,4,1,0,0,40,39,0
27615,47,4,1,0,8,1,4,0,0,0,38,39,0
10244,20,4,15,4,12,1,4,0,0,0,30,39,0
11199,38,7,7,4,4,1,4,1,0,0,60,39,0
2084,28,0,11,2,0,5,4,0,0,0,17,16,0
27883,60,4,5,2,7,5,4,0,0,0,40,39,0
18567,32,4,9,4,14,1,4,1,0,0,40,39,0
6830,48,4,11,2,3,0,4,1,0,0,45,39,0
18904,26,2,9,4,10,3,4,0,0,0,40,39,0
7044,30,4,1,2,12,0,4,1,0,0,40,39,0
17531,21,0,5,4,0,3,4,1,0,0,40,39,0
16449,32,4,8,2,6,0,4,1,0,0,40,39,0
28775,32,4,3,4,3,1,4,1,3674,0,40,13,0
11387,38,5,11,2,4,0,4,1,0,0,65,39,1
23508,24,4,9,4,8,1,1,1,0,0,32,39,0
5541,33,4,11,4,7,1,4,1,0,0,40,39,0
31721,30,4,15,2,6,0,4,1,0,0,32,39,0
9480,26,2,9,2,1,0,4,1,0,0,41,39,0
20889,51,4,15,0,1,4,4,0,0,2547,40,39,0
12036,42,4,15,2,8,5,2,0,0,0,30,39,0
3562,56,4,11,4,7,1,4,1,0,0,32,39,0
26502,52,4,11,2,14,0,4,1,0,0,55,39,0
15014,24,4,15,4,1,1,2,0,0,0,35,39,0
10490,46,4,11,2,8,0,4,1,0,0,40,39,0
15203,27,4,11,4,6,3,4,1,0,0,40,39,0
29984,31,7,12,4,13,1,4,1,0,0,40,39,0
32299,49,4,9,2,10,0,4,1,0,0,40,4,1
30179,21,6,15,4,13,1,4,1,0,0,25,39,0
9613,55,4,9,2,12,0,4,1,15024,0,50,39,1
28263,19,4,1,4,6,2,4,1,0,0,30,39,0
14362,35,5,11,2,12,0,4,1,0,0,62,39,0
28447,39,4,9,0,4,1,4,1,0,0,45,39,0
20357,35,4,1,2,3,0,4,1,0,0,40,39,0
4504,43,2,9,0,10,4,4,0,0,625,40,39,0
32177,43,4,15,2,7,0,4,1,0,0,40,39,0
5251,36,2,12,2,10,5,4,0,0,0,40,39,1
20150,48,4,12,2,4,0,4,1,0,0,40,39,1
1257,57,4,11,2,12,0,4,1,0,0,50,39,0
12223,20,4,15,4,8,3,4,0,0,0,20,39,0
8593,40,2,11,4,8,3,4,1,0,0,40,39,0
31847,19,4,15,4,8,3,4,1,0,0,30,39,0
12798,46,2,9,5,10,4,4,1,0,0,40,39,0
17217,24,4,15,2,14,0,4,1,0,0,65,39,0
18492,54,6,15,2,14,0,4,1,2829,0,30,39,0
24585,29,7,0,4,8,3,2,0,0,0,40,39,0
23958,56,4,11,2,3,0,4,1,0,0,50,39,0
27887,23,4,11,4,8,1,4,1,0,0,40,13,0
5581,44,4,11,2,3,0,4,1,0,0,40,39,0
23131,37,6,9,2,12,0,4,1,0,0,20,2,0
32512,20,4,11,4,7,3,4,1,0,0,40,39,0
18632,47,4,9,2,10,0,4,1,15024,0,50,39,1
15176,74,0,3,2,0,0,2,1,0,0,40,39,0
1562,75,0,9,6,0,1,4,0,25124,0,16,39,1
9446,28,4,4,4,3,2,4,1,0,0,40,26,0
10611,38,4,15,2,3,0,2,1,0,0,40,39,0
9173,34,4,15,2,6,0,4,1,0,1887,40,39,1
26238,21,4,15,2,6,0,2,1,0,0,40,39,0
3667,37,4,12,0,4,4,4,0,0,213,45,39,0
14409,28,4,9,4,10,1,4,0,0,0,40,39,0
15215,24,4,9,4,10,3,4,0,0,0,20,39,0
12947,25,4,15,4,4,3,2,1,0,0,40,39,0
27984,23,4,9,4,4,1,4,0,0,0,38,39,0
18964,19,0,15,4,0,1,4,1,0,0,40,39,0
5003,28,4,11,4,7,4,4,0,0,0,40,39,0
27717,43,4,15,4,8,1,4,1,2174,0,45,39,0
26587,67,4,1,6,1,4,4,0,0,0,20,39,0
10066,27,4,11,4,8,2,2,0,0,0,30,39,0
11602,36,4,1,5,7,1,2,1,0,0,40,39,0
26379,56,4,11,2,3,0,4,1,5013,0,40,39,0
5933,47,4,15,2,3,0,4,1,0,0,40,39,0
21789,34,4,12,0,4,4,2,0,0,0,40,39,0
18291,34,4,8,2,3,0,4,1,0,0,53,39,0
14991,39,5,11,2,4,0,4,1,3103,0,60,39,1
30408,33,4,0,4,8,3,4,0,0,0,25,39,0
9272,29,4,15,4,12,3,4,0,0,0,40,39,0
13562,35,6,11,0,5,3,4,1,0,0,50,39,0
8116,41,6,9,5,3,1,4,1,0,0,35,39,0
20481,26,4,1,2,3,0,4,1,0,0,40,39,0
21836,60,6,15,2,4,0,4,1,0,0,35,4,0
25056,18,0,11,4,0,3,4,0,0,0,60,39,0
835,55,4,11,2,7,0,4,1,0,0,40,39,0
27023,58,4,8,2,3,0,4,1,0,1887,48,39,1
6289,34,6,11,2,12,0,4,1,0,1902,60,39,1
20120,68,2,12,6,10,4,2,0,0,0,40,39,0
10133,57,4,11,2,6,0,4,1,0,0,40,39,0
12817,40,2,7,2,4,0,4,1,0,0,40,39,1
23666,35,2,15,0,1,3,4,0,0,0,38,39,0
13696,82,6,11,2,3,0,4,1,0,0,40,5,0
25154,35,4,8,2,3,0,4,1,0,0,50,39,0
28767,67,6,11,2,5,0,4,1,1797,0,20,39,0
15279,52,5,10,2,10,0,4,1,99999,0,65,39,1
26111,25,4,11,4,3,3,4,1,0,0,40,39,0
26156,36,4,11,2,14,0,0,1,0,0,40,39,0
26155,64,4,10,6,10,1,4,1,0,0,80,39,0
16588,70,6,9,2,10,0,4,1,20051,0,35,39,1
6444,51,4,11,0,1,1,4,0,0,0,38,39,0
23071,25,4,11,4,6,2,4,1,0,0,40,26,0
28423,35,4,11,2,3,0,4,1,0,2377,40,39,1
24957,35,4,15,2,12,0,4,1,0,0,46,39,0
6559,32,6,11,2,5,0,4,1,0,0,40,22,0
9130,40,4,12,2,4,0,4,1,0,0,50,39,1
28124,33,6,9,4,14,1,4,1,0,0,40,0,0
22107,17,4,0,4,8,2,4,1,0,0,40,26,0
23821,31,4,11,2,14,0,4,1,0,0,65,39,0
5555,57,5,15,2,4,0,4,1,0,0,40,39,1
6332,66,4,9,2,10,0,4,1,0,0,40,39,1
15151,27,1,7,2,1,0,4,1,4064,0,40,8,0
13041,53,4,11,4,1,2,4,1,0,0,35,39,0
14099,74,6,11,6,8,1,4,1,0,0,20,39,0
166,39,1,7,4,4,1,4,1,0,0,42,39,0
27288,24,4,9,4,12,3,2,1,0,0,40,39,0
14142,38,2,9,2,4,0,4,1,0,0,40,39,1
11827,30,4,15,2,12,0,4,1,0,0,40,39,0
11410,52,4,9,2,10,0,4,1,0,1902,40,39,1
13336,47,6,15,2,5,0,4,1,0,0,86,39,0
16799,29,4,11,4,4,1,4,0,0,0,38,39,0
19103,23,4,7,2,6,0,4,1,0,0,25,39,0
21548,55,4,11,2,3,0,4,1,7688,0,40,39,1
16438,59,6,8,4,4,1,4,1,0,0,35,39,0
7298,21,6,15,4,8,3,4,1,0,0,30,39,0
13331,40,4,15,2,10,0,4,1,0,0,40,39,1
8651,49,6,15,2,3,0,4,1,0,0,65,31,0
21653,38,2,9,2,3,0,4,1,0,1740,40,39,0
7406,19,4,11,4,1,3,4,0,0,0,20,39,0
14112,23,1,15,4,3,4,0,1,0,0,40,39,0
26158,22,4,15,4,3,3,4,1,0,0,30,39,0
868,39,4,15,2,5,0,4,1,0,0,50,39,0
5764,54,4,10,2,10,0,4,1,0,1977,50,39,1
14898,37,4,11,2,14,0,4,1,0,0,42,39,0
16533,25,4,11,4,3,2,4,1,0,0,40,39,0
532,36,4,11,2,8,0,2,1,0,0,40,39,0
32295,32,4,15,2,14,0,4,1,0,0,50,39,0
1469,40,4,7,2,10,0,4,1,7298,0,36,39,1
7921,29,4,11,2,4,0,4,1,0,0,40,4,0
5254,23,4,11,2,7,0,3,1,0,0,40,26,0
26996,60,4,11,0,7,1,4,1,4650,0,40,39,0
6584,39,4,12,4,3,1,4,0,0,0,50,39,0
7763,53,0,5,5,0,1,4,1,0,0,40,39,0
11413,17,0,1,4,0,3,4,0,0,0,35,39,0
7365,28,6,1,4,12,3,4,1,0,0,40,39,0
32449,44,5,12,2,12,0,4,1,0,0,50,0,1
6445,19,4,11,4,7,3,2,0,0,0,40,39,0
28449,61,4,11,0,1,4,2,0,0,0,40,39,0
17030,20,0,15,4,0,3,4,0,0,0,40,39,0
81,52,4,9,2,8,0,4,1,0,0,40,5,0
9690,26,4,9,2,12,5,4,0,5178,0,42,39,1
25685,36,0,11,6,0,1,4,0,0,0,4,39,0
22303,19,4,11,4,6,3,4,1,0,0,30,39,0
30173,24,4,9,2,10,5,4,0,0,0,40,39,0
17405,22,4,9,4,1,3,4,0,0,0,40,39,0
2923,42,6,8,2,4,0,4,1,0,0,60,39,1
27287,40,4,9,4,12,3,4,1,0,0,40,39,0
5683,41,4,9,0,13,1,4,0,0,0,30,0,0
31851,42,6,14,0,10,4,4,1,7430,0,40,39,1
29955,35,4,15,2,4,0,4,1,0,0,40,39,0
991,41,4,8,2,7,0,4,1,0,0,40,39,0
19179,51,4,3,2,8,0,4,1,0,0,54,26,0
10946,29,4,8,4,1,3,4,0,0,0,40,39,0
27185,28,6,15,4,7,1,2,1,0,0,40,39,0
22640,37,4,12,2,10,0,4,1,0,0,50,39,1
32138,50,5,1,4,4,2,4,1,0,2444,40,39,1
17573,44,2,15,2,4,0,4,1,0,0,40,39,1
26966,17,4,1,4,6,3,4,1,0,0,17,39,0
17651,35,4,11,2,3,0,4,1,0,0,40,39,0
15858,39,4,11,2,12,0,4,1,0,0,40,39,0
2073,51,2,15,2,4,0,2,1,0,0,40,39,1
767,22,4,15,2,12,5,4,0,0,0,30,11,0
17181,52,4,9,2,10,0,4,1,0,0,40,39,1
26805,37,4,4,4,1,2,4,0,0,0,40,26,0
26100,40,6,9,2,12,0,4,1,0,0,45,39,1
28671,48,4,12,2,4,0,4,1,0,0,40,39,1
30468,38,0,8,4,0,3,4,1,0,0,15,39,0
15284,59,2,15,5,11,1,4,1,0,0,40,39,0
26570,47,4,10,2,10,0,4,1,0,0,40,20,1
31057,33,4,15,4,1,4,4,0,0,0,35,33,0
593,31,4,9,2,10,0,4,1,7688,0,40,2,1
5910,32,4,15,4,7,3,2,0,0,0,40,39,0
31107,27,4,15,2,12,0,4,1,0,0,40,39,0
28604,52,2,15,2,11,0,4,1,3137,0,42,39,0
23087,53,4,10,2,10,5,4,0,99999,0,37,39,1
28476,71,0,15,6,0,1,4,0,0,0,14,2,0
30269,29,4,11,2,6,0,4,1,0,0,42,39,0
7454,34,4,1,2,7,0,4,1,0,0,40,39,0
6090,34,4,6,0,8,4,4,0,0,0,40,39,0
17522,26,4,11,4,6,3,4,0,0,0,40,39,0
29064,25,4,9,4,1,1,4,0,0,0,40,39,0
470,60,4,15,4,10,4,4,1,0,0,40,39,0
13014,28,4,11,4,8,3,4,0,0,0,32,39,0
14812,52,6,0,2,3,0,4,1,0,0,35,39,0
28915,29,2,11,4,6,4,1,1,0,1590,45,39,0
4387,52,4,11,0,1,1,4,0,0,0,40,39,0
13757,48,4,15,4,6,1,4,1,0,0,40,39,0
7733,42,4,15,2,13,5,4,0,0,0,40,39,1
20878,61,6,7,3,4,1,4,0,0,0,90,39,0
13779,27,4,9,2,4,0,4,1,0,1977,50,39,1
20824,23,4,8,4,3,3,4,1,0,0,33,39,0
15631,42,7,11,2,4,0,4,1,0,0,40,39,0
3988,52,4,11,2,7,0,4,1,0,0,40,39,0
9050,44,4,11,2,3,0,4,1,0,0,40,39,0
25225,61,0,0,0,0,1,4,0,0,0,40,39,0
21775,61,6,11,2,5,0,4,1,0,0,40,39,0
26374,27,6,8,4,10,2,4,1,0,0,30,39,0
15152,32,6,9,2,4,0,2,1,0,0,40,0,1
13963,66,5,9,2,4,0,4,1,10605,0,40,39,1
2581,40,4,3,3,7,4,4,0,0,0,40,6,0
15111,41,4,15,2,10,0,4,1,0,0,40,39,1
12190,48,4,11,2,1,5,4,0,0,0,40,39,0
30227,52,4,15,0,12,2,4,0,0,0,20,39,0
7453,31,4,15,0,12,3,4,0,0,0,35,39,0
20558,24,4,8,2,3,0,4,1,0,0,45,39,0
22609,48,4,11,6,7,1,4,0,0,0,48,39,0
31034,34,7,10,4,10,1,4,0,0,0,60,39,0
9443,38,4,11,2,4,0,4,1,0,0,40,39,0
13483,55,1,12,2,4,0,1,1,0,0,60,39,1
28132,48,4,3,2,5,0,4,1,3781,0,50,26,0
11442,33,4,7,0,1,1,4,0,0,880,40,39,0
20746,30,4,6,4,5,2,2,1,0,0,40,39,0
3830,57,4,11,2,8,0,4,1,0,0,30,39,0
2172,41,4,11,2,7,0,4,1,0,0,40,39,0
14465,18,4,11,2,1,5,4,0,0,0,40,39,0
7390,50,4,11,2,14,0,2,1,0,0,40,39,0
24478,20,4,11,4,6,3,4,1,0,0,40,39,0
2539,27,1,11,5,4,4,2,0,0,0,40,39,0
15193,22,4,11,2,9,5,4,0,4508,0,40,39,0
22713,61,4,9,2,12,0,4,1,0,0,40,39,1
4488,25,4,8,4,10,1,4,0,0,0,36,2,0
11519,41,4,11,2,12,0,4,1,2829,0,40,39,0
27566,56,4,15,2,4,0,4,1,0,0,45,39,1
13548,42,4,8,2,1,0,4,1,2407,0,40,39,0
13882,33,4,11,0,12,1,4,0,0,0,50,39,0
17067,23,4,11,2,1,5,4,0,3908,0,40,39,0
23274,41,4,15,2,3,0,4,1,0,0,48,39,0
13283,46,4,15,2,12,0,4,1,0,0,40,39,1
8779,36,4,15,2,12,0,4,1,0,0,40,39,0
13138,42,2,15,2,3,0,2,1,0,0,40,39,0
7153,20,4,15,4,12,3,4,1,0,0,30,0,0
7366,19,4,5,4,14,4,4,1,0,0,25,13,0
24920,19,4,2,4,12,3,4,0,0,0,18,39,0
14492,22,4,11,4,10,3,4,0,0,0,20,39,0
24158,21,4,8,4,7,1,4,1,0,0,30,39,0
30816,22,4,1,5,3,1,4,1,0,0,40,39,0
23272,25,4,11,4,1,3,4,0,0,0,40,39,0
30058,51,1,11,2,4,0,4,1,0,0,57,39,1
27536,27,4,15,4,1,3,4,1,0,0,30,39,0
24624,40,4,15,0,1,4,4,0,914,0,40,39,0
4765,30,4,11,2,7,0,4,1,0,0,60,21,0
15262,47,1,9,2,3,0,4,1,0,1740,40,39,0
1857,18,4,11,4,8,3,4,0,0,0,8,39,0
15571,50,1,15,2,4,0,4,1,0,0,40,39,1
3809,25,4,15,2,12,0,4,1,0,0,44,39,0
24483,39,5,12,0,4,1,1,1,0,0,99,24,0
52,47,4,14,2,10,5,4,0,0,1902,60,16,1
13401,26,4,11,2,3,0,4,1,0,0,40,39,0
5347,35,4,5,2,7,0,4,1,0,0,40,0,0
5745,27,4,15,2,14,0,4,1,0,0,48,39,0
28434,46,4,9,5,10,4,2,0,0,0,36,39,0
9892,24,4,11,5,8,1,4,0,0,0,55,39,0
12335,63,4,11,0,12,1,4,0,0,0,40,39,0
23421,64,0,0,2,0,0,4,1,0,0,56,39,0
28530,60,2,8,0,10,4,4,1,0,0,40,39,0
20333,69,0,14,2,0,5,4,0,0,0,25,0,0
11107,45,4,9,2,12,0,4,1,0,1902,45,39,1
24734,33,4,12,2,4,0,4,1,0,0,40,39,0
9286,27,4,11,4,1,1,2,0,0,0,40,39,0
16604,73,6,5,2,5,0,4,1,6418,0,99,39,1
2369,37,4,6,2,6,0,4,1,3781,0,50,26,0
13409,20,4,15,4,3,3,4,1,0,0,40,39,0
4719,39,4,9,0,4,1,4,0,0,0,25,39,0
4486,55,4,0,2,3,0,2,1,0,0,40,39,0
26464,59,4,2,0,14,2,2,1,0,0,35,39,0
18330,23,4,11,2,12,0,4,1,0,0,40,39,0
4192,34,4,11,2,7,0,4,1,0,0,40,39,0
11910,28,6,15,2,5,0,4,1,0,0,55,39,0
3654,44,4,11,2,14,0,4,1,0,0,40,39,0
6089,34,4,15,2,1,0,4,1,0,0,40,39,0
15915,25,6,7,2,1,5,4,0,0,0,35,39,0
6346,21,4,8,4,4,3,4,1,0,0,40,39,0
27103,37,4,4,2,7,0,4,1,0,0,40,26,0
17729,38,4,8,2,13,5,4,0,0,0,40,39,1
31277,39,4,11,4,3,1,4,1,0,1564,50,39,0
3534,21,4,15,4,8,3,4,1,0,0,25,39,0
29104,25,4,8,4,8,2,1,0,0,0,40,0,0
16100,25,1,9,4,13,1,4,1,0,0,45,39,0
3322,37,4,15,2,3,0,4,1,0,0,45,39,0
5513,55,4,11,0,12,1,4,0,0,0,40,9,0
31567,30,4,11,3,1,1,4,0,0,0,40,39,0
23302,59,4,11,2,14,0,4,1,0,0,50,39,0
22941,44,4,11,2,1,0,4,1,0,0,45,39,0
16880,25,4,15,4,8,3,4,0,0,0,40,39,0
8968,61,4,6,0,12,1,4,1,0,0,25,39,0
11871,40,4,11,2,14,0,4,1,0,0,35,39,0
29404,48,4,15,0,1,4,4,0,0,0,55,39,0
17981,59,6,11,2,14,0,4,1,0,0,48,39,0
25224,32,2,7,0,4,1,2,0,0,0,40,39,0
13536,17,6,0,4,5,3,4,1,0,0,35,39,0
